iter	Logloss
0	0.6198757237
1	0.5662516258
2	0.5130727158
3	0.4731849944
4	0.4276583968
5	0.3991046301
6	0.3704349682
7	0.3541384653
8	0.3264624032
9	0.311714793
10	0.2958941147
11	0.2862781562
12	0.2764763748
13	0.2654707317
14	0.2560791352
15	0.2432925054
16	0.2385467026
17	0.2333213308
18	0.2278584569
19	0.2231384703
20	0.2202790796
21	0.2172066784
22	0.2150063234
23	0.2115174967
24	0.2080333489
25	0.2070360939
26	0.2055373515
27	0.2038625829
28	0.2017511489
29	0.2001717791
30	0.199041179
31	0.1973342065
32	0.1957460846
33	0.1941363842
34	0.1923243573
35	0.1909752231
36	0.1898043571
37	0.1887170497
38	0.1875654083
39	0.1864179036
40	0.1860171388
41	0.1852510955
42	0.1845061852
43	0.1832608041
44	0.1826122309
45	0.1819997623
46	0.181235723
47	0.1806686643
48	0.1800059208
49	0.1792983036
50	0.1785284222
51	0.1773895105
52	0.1768050478
53	0.1762660589
54	0.175742966
55	0.1752363924
56	0.174693829
57	0.1741336849
58	0.1737322088
59	0.1733641508
60	0.1733197827
61	0.1728826696
62	0.1723948541
63	0.1719933364
64	0.1714568227
65	0.1709526048
66	0.1707649143
67	0.1703315833
68	0.1699112789
69	0.1694279684
70	0.1691546706
71	0.1686890253
72	0.1683537371
73	0.1679051285
74	0.1675513174
75	0.1673727913
76	0.1670782798
77	0.1667896235
78	0.1664867416
79	0.166344457
80	0.1661219007
81	0.1658323832
82	0.1653914683
83	0.1650258283
84	0.1646680327
85	0.1644921193
86	0.1643038597
87	0.1639505708
88	0.1636728129
89	0.1633260626
90	0.1631041224
91	0.1630067182
92	0.1627768785
93	0.1625587403
94	0.1622242843
95	0.1618923332
96	0.1617538342
97	0.1614404252
98	0.1610843879
99	0.1607660823
100	0.1604429108
101	0.1602367505
102	0.1597356352
103	0.1594875986
104	0.1593527085
105	0.159027127
106	0.1587191884
107	0.1583790507
108	0.158159408
109	0.1576240825
110	0.1574426432
111	0.1574033995
112	0.1571297277
113	0.1569134978
114	0.1566165557
115	0.1563016902
116	0.1559168241
117	0.1556555036
118	0.1554439528
119	0.1553023661
120	0.1552654377
121	0.1549915036
122	0.1548511955
123	0.1546771744
124	0.1545047044
125	0.1544781777
126	0.1542822535
127	0.1541285678
