iter	Passed	Remaining
0	3	1229
1	7	1230
2	10	1235
3	13	1184
4	17	1188
5	20	1171
6	24	1177
7	26	1146
8	30	1147
9	33	1153
10	37	1150
11	41	1156
12	45	1181
13	48	1166
14	51	1140
15	53	1115
16	55	1090
17	57	1067
18	60	1045
19	62	1033
20	65	1019
21	67	1003
22	69	988
23	71	977
24	74	964
25	75	946
26	78	935
27	80	927
28	82	917
29	85	909
30	87	898
31	89	889
32	91	880
33	94	874
34	96	866
35	98	858
36	100	851
37	102	844
38	105	837
39	107	831
40	109	821
41	111	815
42	113	809
43	115	804
44	118	799
45	120	795
46	122	790
47	124	786
48	127	781
49	129	776
50	131	772
51	134	768
52	136	764
53	138	760
54	141	756
55	143	752
56	145	748
57	147	744
58	150	741
59	152	737
60	154	731
61	156	727
62	159	724
63	161	721
64	163	718
65	166	714
66	168	711
67	172	713
68	176	718
69	180	721
70	184	723
71	187	725
72	191	727
73	195	729
74	199	730
75	202	730
76	206	731
77	210	732
78	213	733
79	217	734
80	221	735
81	225	735
82	229	736
83	232	737
84	236	737
85	240	738
86	244	738
87	247	738
88	251	738
89	255	738
90	259	738
91	263	738
92	267	738
93	270	737
94	274	737
95	278	737
96	282	737
97	286	737
98	290	736
99	294	736
100	298	736
101	302	736
102	306	735
103	310	735
104	314	734
105	318	734
106	322	733
107	327	733
108	331	732
109	336	733
110	340	732
111	344	731
112	347	729
113	351	728
114	355	727
115	359	725
116	363	723
117	367	722
118	371	720
119	375	719
120	379	717
121	382	715
122	386	713
123	390	712
124	394	710
125	398	708
126	402	706
127	406	704
128	410	702
129	414	701
130	418	698
131	422	696
132	426	695
133	429	692
134	433	690
135	437	688
136	441	686
137	445	684
138	449	682
139	453	680
140	457	678
141	461	676
142	465	673
143	469	671
144	473	669
145	477	666
146	481	664
147	485	662
148	489	659
149	493	657
150	496	654
151	500	652
152	504	649
153	508	647
154	512	644
155	516	642
156	520	639
157	524	637
158	528	634
159	532	632
160	536	629
161	540	626
162	544	624
163	548	621
164	552	618
165	556	616
166	559	613
167	563	610
168	567	608
169	571	605
170	575	602
171	579	599
172	583	596
173	587	594
174	591	591
175	595	588
176	599	585
177	603	582
178	606	579
179	610	576
180	614	573
181	618	570
182	622	567
183	626	565
184	630	562
185	634	559
186	638	556
187	642	553
188	646	550
189	650	547
190	653	544
191	657	541
192	661	538
193	665	535
194	669	532
195	673	529
196	677	526
197	681	523
198	685	520
199	690	517
200	694	514
201	698	511
202	702	508
203	705	505
204	709	502
205	713	499
206	717	495
207	721	492
208	726	489
209	730	486
210	733	483
211	737	480
212	741	477
213	745	473
214	749	470
215	753	467
216	757	464
217	760	460
218	764	457
219	768	454
220	772	451
221	776	447
222	780	444
223	784	441
224	788	438
225	792	434
226	796	431
227	800	428
228	804	425
229	808	421
230	812	418
231	816	415
232	819	411
233	823	408
234	827	405
235	831	401
236	835	398
237	839	395
238	843	391
239	847	388
240	851	385
241	855	381
242	859	378
243	864	375
244	868	372
245	872	368
246	876	365
247	881	362
248	885	359
249	890	356
250	894	352
251	898	349
252	902	346
253	906	342
254	911	339
255	915	336
256	919	332
257	924	329
258	928	326
259	932	322
260	936	319
261	940	316
262	945	312
263	949	309
264	953	305
265	957	302
266	960	298
267	964	295
268	968	291
269	971	287
270	975	284
271	978	280
272	983	277
273	989	274
274	993	271
275	997	267
276	1002	264
277	1006	260
278	1010	257
279	1014	253
280	1019	250
281	1023	246
282	1027	243
283	1031	239
284	1035	236
285	1039	232
286	1044	229
287	1048	225
288	1052	222
289	1056	218
290	1061	215
291	1065	211
292	1069	208
293	1073	204
294	1078	200
295	1082	197
296	1086	193
297	1090	190
298	1094	186
299	1099	183
300	1103	179
301	1107	176
302	1111	172
303	1116	168
304	1120	165
305	1124	161
306	1128	158
307	1132	154
308	1136	150
309	1140	147
310	1144	143
311	1149	139
312	1153	136
313	1156	132
314	1161	129
315	1165	125
316	1169	121
317	1173	118
318	1177	114
319	1181	110
320	1185	107
321	1189	103
322	1193	99
323	1198	96
324	1202	92
325	1207	88
326	1211	85
327	1215	81
328	1219	77
329	1223	74
330	1227	70
331	1231	66
332	1235	63
333	1239	59
334	1243	55
335	1248	52
336	1252	48
337	1256	44
338	1260	40
339	1264	37
340	1269	33
341	1273	29
342	1278	26
343	1282	22
344	1287	18
345	1291	14
346	1296	11
347	1300	7
348	1304	3
349	1309	0
