modelo,paso,columna,accuracy,recall,f1,roc_auc,pr_auc
regresion_logistica,1,riesgo_digestivo_x_sintomas,0.9269568135209226,0.9139907304925291,0.8371346749845939,0.9719588132647251,0.9029137085556375
regresion_logistica,2,edad_mayor_65,0.9274504456373995,0.9135076554141304,0.8379938037184342,0.9723820079149293,0.9067797035203228
regresion_logistica,3,sangrado_doble,0.9228109076334245,0.916389964951116,0.8298670432958598,0.9726055254697341,0.907459854222741
regresion_logistica,4,tabaquismo_alto,0.9236992603797403,0.9168707341818854,0.8315766784497219,0.9728975961610071,0.9084889959369029
regresion_logistica,5,riesgo_familiar_x_edad,0.9238966937459792,0.9168707341818854,0.8319385106214112,0.9729459473510538,0.9086700226764233
regresion_logistica,6,n_sintomas,0.9238966937459792,0.9168707341818854,0.8319385106214112,0.9729629497548642,0.908719645947064
regresion_logistica,7,habito_4_o_5,0.9237980257637393,0.9168707341818854,0.8317543198548817,0.972749886569483,0.9088353398496013
random_forest,1,edad_x_tenesmus,0.9389007042634212,0.8481610865154032,0.8507299614771439,0.9702397594585583,0.9161205959722446
random_forest,2,edad_mayor_65,0.9384074617539817,0.8462460800590297,0.849355872658187,0.9700419145094816,0.9176659478070375
xgboost,1,habito_4_o_5,0.9449218375231512,0.8520060874377421,0.8639862037381094,0.9773808585716234,0.9315346096124015
xgboost,2,edad_mayor_65,0.9455140889209883,0.8524857037446966,0.8653349031096755,0.9773612244938878,0.9318619894397953
