modelo,columna,accuracy,recall,f1,roc_auc,pr_auc,puntuacion_compuesta
regresion_logistica,riesgo_digestivo_x_sintomas,0.000493583415597243,1.1529238148622056e-06,0.0009196629308437787,0.00027532250358330845,0.004425533442821927,0.0030982192871198077
regresion_logistica,edad_mayor_65,0.0004936321164769053,-0.00048307507839873143,0.0008591287338403086,0.0004231946502042394,0.0038659949646853153,0.002561273951760101
regresion_logistica,sangrado_doble,-0.004639538003974986,0.00288230953698565,-0.00812676042257443,0.0002235175548047641,0.0006801507024182252,0.0013407983527884526
regresion_logistica,tabaquismo_alto,0.0008883527463157126,0.0004807692307693401,0.0017096351538621324,0.00029207069127301644,0.0010291417141619075,0.0008646299691441371
regresion_logistica,riesgo_familiar_x_edad,0.00019743336623889718,0.0,0.0003618321716892803,4.835119004664712e-05,0.0001810267395203624,0.00012671871766425368
regresion_logistica,n_sintomas,0.0,0.0,0.0,1.7002403810417732e-05,4.962327064073069e-05,3.473628944851148e-05
regresion_logistica,habito_4_o_5,-9.866798223989726e-05,0.0,-0.00018419076652953503,-0.0002130631853811682,0.00011569390253729495,8.098573177610645e-05
regresion_logistica,edad_x_tenesmus,-0.00019743336623889718,0.0,-0.0003500540349162806,2.293745510040246e-05,-0.00012810643480154482,-8.967450436108136e-05
regresion_logistica,edad_x_sof,-0.0001975307679982219,-0.0004807692307693401,-0.00042139676646590907,-4.382542699710168e-05,-0.0001399114096113374,-0.0002421687559587382
regresion_logistica,edad_x_rectorragia,-0.0002961013484785724,0.0,-0.000542309124345941,-1.7644030976926572e-05,-0.0005178385686701592,-0.00036248699806911143
random_forest,edad_x_tenesmus,0.0006907732774378283,-0.00048307507839873143,0.0014000814363729353,0.002047929620947242,0.0023250629840069204,0.0014826215652852248
random_forest,edad_mayor_65,-0.0004932425094394954,-0.001915006456373547,-0.0013740888189568423,-0.0001978449490767087,0.001545351834792874,0.0005072443474429477
random_forest,edad_x_rectorragia,-0.0002962474511177815,0.0009557738424645912,-0.00044092627104530546,-4.385049055644075e-06,-0.0010466725423685652,-0.0004459386269186183
random_forest,tabaquismo_alto,-0.0011845027956740584,-0.0019230769230769162,-0.0027028618538013083,-0.00019736265454883828,-0.0004368994704471163,-0.0008827527062360562
random_forest,n_sintomas,-0.0001973846653591238,0.001921923999262276,-0.00011723909535688026,-0.0005500438397488816,-0.0021133202573624388,-0.0009027469803750242
random_forest,habito_4_o_5,9.861928136001286e-05,-0.0028869212322449878,-0.00018819506322131918,0.0002933954795075744,-0.0005723787577935902,-0.0012667415001290094
random_forest,riesgo_familiar_x_edad,-0.00029619875023811915,-0.0019242298468917785,-0.0008728624753843173,-0.00035927827255621825,-0.001266676134054845,-0.001463942247905925
random_forest,riesgo_digestivo_x_sintomas,9.866798223967521e-05,-0.002402693230031283,-0.00015635906581290548,-0.000727255391100301,-0.001440021762648236,-0.0017288232028631499
random_forest,sangrado_doble,9.871668311944859e-05,-2.3058476295023667e-06,0.00023572855374465185,-0.00018966456075442117,-0.002845124754813133,-0.0019922790826580436
random_forest,edad_x_sof,-0.0006909680809563667,-0.004808845231507153,-0.0021283965337550725,-0.0003777579942733089,-0.0010956213172015339,-0.0022095884914932196
xgboost,habito_4_o_5,0.0005923975004760162,0.003368843386828857,0.0016904560833679305,-1.5136242654256726e-05,-8.947569623474205e-05,0.0009480200286843376
xgboost,edad_mayor_65,0.0005922513978371402,0.0004796163069544779,0.00134869937156612,-1.963407773553083e-05,0.0003273798273937256,0.00037305077126195126
xgboost,n_sintomas,-0.0004937782191160034,-0.0028857683084302366,-0.0014481625861910707,0.00029417817871857377,0.0010831626915019932,-0.00010751660847767568
xgboost,riesgo_digestivo_x_sintomas,0.000394818031598021,0.00048076923076911804,0.0008893639459883751,2.4880955245443204e-05,-0.0003858942995422776,-0.00012589524044885888
xgboost,tabaquismo_alto,-0.0008884988489548107,-0.0024038461538461453,-0.002239092048123892,2.016041252050904e-05,-2.902049657693695e-05,-0.0007414681937576995
xgboost,edad_x_tenesmus,-0.000987166831194486,-0.004806539383877428,-0.002780376929129913,-3.5351795009241904e-05,0.0004098160800025674,-0.0011550905591614312
xgboost,edad_x_sof,-0.0007896847640760374,-0.00432577015310831,-0.002280285489913325,-8.938274607261931e-05,0.00011659804651020789,-0.0012161124133753477
xgboost,riesgo_familiar_x_edad,-0.000394818031598243,-0.003843847998524441,-0.0013934772716308608,6.070179689987576e-05,-0.0004790099646827528,-0.0014884613748352591
xgboost,edad_x_rectorragia,-0.00039501283511700347,-0.0052873086146467685,-0.0015728599778565,7.378497584165089e-05,-6.675843588821451e-05,-0.0016329234895157807
xgboost,sangrado_doble,-0.0010858348134343832,-0.006248847076185116,-0.003174461128439332,-0.0001542490326897905,-0.00034228977345729383,-0.0021142569642756404
